file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
fr_20260612_091503,0.0,4.352,input,-42.63004220545977,-48.86776304244995,1.6431676725154982,4.420912690272354
fr_20260615_134138,0.0,6.464,input,-39.803112301664086,-44.98039016723633,1.6000004344501375,4.76833303931601
fr_20260612_111641,0.0,4.288,input,-43.48312299679487,-48.24826749165853,1.4971724149004935,5.642576189127514
